"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"scree conditional reference","PCM, null","simulated upper-tail dimensionality decision",192,200,8,0,0,NA,NA,10000,9810,0,190,NA,-0.00476126418358103,0.0329359987373961,NA,NA,NA,NA,0.00520833333333334,0.00519475225850079,0.0416666666666667,0.0144212219842328,NA,NA,0.04,0.013856406460551,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","d8c136bf74b882d7da8e9c507dc57858","git:c9ca426","31c67c5c3755","2026-09-11","generating/fitted model PCM; PC1 observed/null-mean ratio 0.9952; PC1 observed/null-critical ratio 0.9091; PC1 rejection 0.005; family rejection 0.042; 10 components; 9810/10000 conditional draws used in total, with 0 non-converged and 190 other failures"
"scree conditional reference","RSM, null","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,10000,9987,1,12,NA,0.00305567443150201,0.0328509200251956,NA,NA,NA,NA,0.00999999999999999,0.00703562363973514,0.04,0.013856406460551,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","d8c136bf74b882d7da8e9c507dc57858","git:c9ca426","31c67c5c3755","2026-09-11","generating/fitted model RSM; PC1 observed/null-mean ratio 1.0031; PC1 observed/null-critical ratio 0.9175; PC1 rejection 0.010; family rejection 0.040; 10 components; 9987/10000 conditional draws used in total, with 1 non-converged and 12 other failures"
"scree conditional reference","sparse PCM, null","conditional-reference support guard",0,200,199,0,1,NA,NA,9950,1431,0,8519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.004987484335815,0,0,0.005,0.004987484335815,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","d8c136bf74b882d7da8e9c507dc57858","git:c9ca426","31c67c5c3755","2026-09-11","generating/fitted model PCM; PC1 observed/null-mean ratio unavailable; PC1 observed/null-critical ratio unavailable; PC1 rejection unavailable; family rejection unavailable; 10 components; 1431/9950 conditional draws used in total, with 0 non-converged and 8519 other failures; this deliberately severe sparse-category design tests safe refusal, not null rejection calibration"
"scree conditional reference","PCM, second dimension","simulated upper-tail dimensionality decision",186,200,14,0,0,NA,NA,10000,9800,0,200,NA,0.932635237302176,0.0910877264990957,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.07,0.0180416185526687,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","d8c136bf74b882d7da8e9c507dc57858","git:c9ca426","31c67c5c3755","2026-09-11","generating/fitted model PCM; PC1 observed/null-mean ratio 1.9326; PC1 observed/null-critical ratio 1.7653; PC1 rejection 1.000; family rejection 1.000; 10 components; 9800/10000 conditional draws used in total, with 0 non-converged and 200 other failures"
"scree conditional reference","RSM, second dimension","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,10000,9972,0,28,NA,0.944313516665754,0.0897900882756255,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","d8c136bf74b882d7da8e9c507dc57858","git:c9ca426","31c67c5c3755","2026-09-11","generating/fitted model RSM; PC1 observed/null-mean ratio 1.9443; PC1 observed/null-critical ratio 1.7777; PC1 rejection 1.000; family rejection 1.000; 10 components; 9972/10000 conditional draws used in total, with 0 non-converged and 28 other failures"
