"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"pc-kurtosis","1200 persons, 6 items, 4 thresholds","I3 kurtosis recovery; mean item coverage",100,100,0,0,0,0,0,NA,NA,NA,NA,0.018,0.000808771436618252,0.00472596872166141,0.00446383578226512,1.05872369687921,0.955,0.00743660072230789,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pc-kurtosis.R","536f2a722ee6d2add0a15bf46c72dde3","git:145b821+dirty","ecb2f28fed2c","2026-09-09","Fixed truth generated using independent published adjacent polynomials; 100 replicates per condition, not a principal null-size study. Maximum free-PCM discrepancies: thresholds 3.20370412421056e-08 covariance 1.19133056197818e-09 log likelihood 1.2732925824821e-11"
"pc-kurtosis","1200 persons, 6 items, 5 thresholds","I3 kurtosis recovery; mean item coverage",100,100,0,0,0,0,0,NA,NA,NA,NA,0.018,0.000155851353355662,0.00164962173872885,0.00151009110617038,1.09239881752057,0.94,0.00991546762974387,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pc-kurtosis.R","536f2a722ee6d2add0a15bf46c72dde3","git:145b821+dirty","ecb2f28fed2c","2026-09-09","Fixed truth generated using independent published adjacent polynomials; 100 replicates per condition, not a principal null-size study. Five/six thresholds use the correctly restricted four-component model."
"pc-kurtosis","1200 persons, 6 items, 6 thresholds","I3 kurtosis recovery; mean item coverage",100,100,0,0,0,0,0,NA,NA,NA,NA,0.018,0.000220071644949948,0.000655783278394526,0.000792610962619677,0.82737094151093,0.951666666666667,0.00830635363214072,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pc-kurtosis.R","536f2a722ee6d2add0a15bf46c72dde3","git:145b821+dirty","ecb2f28fed2c","2026-09-09","Fixed truth generated using independent published adjacent polynomials; 100 replicates per condition, not a principal null-size study. Five/six thresholds use the correctly restricted four-component model."
