"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes","estimate","n_edges","n_boot_failed","elapsed_seconds","pass"
"efrm-link-graph-conformance","two_sets_1","log_alpha_last_over_first",1,1,0,0,0,NA,NA,60,60,NA,NA,0,NA,NA,0.0829119626787305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-link-graph-conformance.R","94222d04ec3a327d76b096739cdf1e2b","git:145b821+dirty","589fee4d030d","2026-09-09","One fixed dataset; numerical and accounting checks only. No coverage or rejection claim. B_failed combines numerical, non-convergence and support failures; no reason-specific totals.",0.00538965361094714,1,0,14.816,TRUE
"efrm-link-graph-conformance","complete_triangle_1","log_alpha_last_over_first",1,1,0,0,0,NA,NA,60,60,NA,NA,0,NA,NA,0.0838315001322145,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-link-graph-conformance.R","94222d04ec3a327d76b096739cdf1e2b","git:145b821+dirty","589fee4d030d","2026-09-09","One fixed dataset; numerical and accounting checks only. No coverage or rejection claim. B_failed combines numerical, non-convergence and support failures; no reason-specific totals.",-0.0828575999842538,3,0,37.086,TRUE
"efrm-link-graph-conformance","pairwise_booklets_1","log_alpha_last_over_first",1,1,0,0,0,NA,NA,60,54,NA,NA,0,NA,NA,0.124812574486696,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-link-graph-conformance.R","94222d04ec3a327d76b096739cdf1e2b","git:145b821+dirty","589fee4d030d","2026-09-09","One fixed dataset; numerical and accounting checks only. No coverage or rejection claim. B_failed combines numerical, non-convergence and support failures; no reason-specific totals.",0.0953702501840685,3,6,44.619,TRUE
"efrm-link-graph-conformance","chain_1","log_alpha_last_over_first",1,1,0,0,0,NA,NA,60,59,NA,NA,0,NA,NA,0.168408636204868,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-link-graph-conformance.R","94222d04ec3a327d76b096739cdf1e2b","git:145b821+dirty","589fee4d030d","2026-09-09","One fixed dataset; numerical and accounting checks only. No coverage or rejection claim. B_failed combines numerical, non-convergence and support failures; no reason-specific totals.",-0.112813556672526,2,1,27.92,TRUE
"efrm-link-graph-conformance","two_sets_1.3","log_alpha_last_over_first",1,1,0,0,0,NA,NA,60,60,NA,NA,0.262364264467491,NA,NA,0.0820167348721083,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-link-graph-conformance.R","94222d04ec3a327d76b096739cdf1e2b","git:145b821+dirty","589fee4d030d","2026-09-09","One fixed dataset; numerical and accounting checks only. No coverage or rejection claim. B_failed combines numerical, non-convergence and support failures; no reason-specific totals.",0.257317075496154,1,0,15.778,TRUE
"efrm-link-graph-conformance","complete_triangle_1.3","log_alpha_last_over_first",1,1,0,0,0,NA,NA,60,60,NA,NA,0.262364264467491,NA,NA,0.0780334419618424,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-link-graph-conformance.R","94222d04ec3a327d76b096739cdf1e2b","git:145b821+dirty","589fee4d030d","2026-09-09","One fixed dataset; numerical and accounting checks only. No coverage or rejection claim. B_failed combines numerical, non-convergence and support failures; no reason-specific totals.",0.210894039848237,3,0,39.879,TRUE
"efrm-link-graph-conformance","pairwise_booklets_1.3","log_alpha_last_over_first",1,1,0,0,0,NA,NA,60,52,NA,NA,0.262364264467491,NA,NA,0.131571175950347,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-link-graph-conformance.R","94222d04ec3a327d76b096739cdf1e2b","git:145b821+dirty","589fee4d030d","2026-09-09","One fixed dataset; numerical and accounting checks only. No coverage or rejection claim. B_failed combines numerical, non-convergence and support failures; no reason-specific totals.",0.403827604523677,3,8,45.667,TRUE
"efrm-link-graph-conformance","chain_1.3","log_alpha_last_over_first",1,1,0,0,0,NA,NA,60,60,NA,NA,0.262364264467491,NA,NA,0.166135054589693,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-link-graph-conformance.R","94222d04ec3a327d76b096739cdf1e2b","git:145b821+dirty","589fee4d030d","2026-09-09","One fixed dataset; numerical and accounting checks only. No coverage or rejection claim. B_failed combines numerical, non-convergence and support failures; no reason-specific totals.",0.216281616426244,2,0,28.912,TRUE
