"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes","n_boot_failed","n_boot_unidentified","n_boot_solver_error","n_boot_other_failed","max_abs_covariance_difference","unfiltered_se_log_phi","phi_inference","elapsed_seconds","pass"
"efrm-full-identification","balanced_binary","full_bootstrap_covariance_conformance",1,1,0,0,0,NA,NA,40,40,0,NA,NA,NA,NA,0.080603700511113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-full-identification.R","348acf95b384ecddb76052573f7e918a","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","One fixed dataset; recording wrappers do not alter fits. Covariance reconstructed from accepted draws. No coverage or size claim. Unidentified and non-converged counts may overlap.",0,0,0,0,0,0.080603700511113,TRUE,1.709,TRUE
"efrm-full-identification","balanced_polytomous","full_bootstrap_covariance_conformance",1,1,0,0,0,NA,NA,40,40,0,NA,NA,NA,NA,0.0767812373000311,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-full-identification.R","348acf95b384ecddb76052573f7e918a","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","One fixed dataset; recording wrappers do not alter fits. Covariance reconstructed from accepted draws. No coverage or size claim. Unidentified and non-converged counts may overlap.",0,0,0,0,0,0.0767812373000311,TRUE,6.896,TRUE
"efrm-full-identification","group_12","full_bootstrap_covariance_conformance",1,1,0,0,0,NA,NA,40,39,0,NA,NA,NA,NA,0.20110780453544,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-full-identification.R","348acf95b384ecddb76052573f7e918a","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","One fixed dataset; recording wrappers do not alter fits. Covariance reconstructed from accepted draws. No coverage or size claim. Unidentified and non-converged counts may overlap.",1,1,0,0,0,0.390010585789419,FALSE,0.35,TRUE
"efrm-full-identification","group_3","full_bootstrap_covariance_conformance",1,1,0,0,0,NA,NA,40,31,1,NA,NA,NA,NA,0.182197055939204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-full-identification.R","348acf95b384ecddb76052573f7e918a","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","One fixed dataset; recording wrappers do not alter fits. Covariance reconstructed from accepted draws. No coverage or size claim. Unidentified and non-converged counts may overlap.",9,9,0,0,0,0.71879641620948,FALSE,0.779,TRUE
"efrm-full-identification","two_sets_two_groups","full_bootstrap_covariance_conformance",1,1,0,0,0,NA,NA,40,40,0,NA,NA,NA,NA,0.0645281859887524,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/efrm-full-identification.R","348acf95b384ecddb76052573f7e918a","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","One fixed dataset; recording wrappers do not alter fits. Covariance reconstructed from accepted draws. No coverage or size claim. Unidentified and non-converged counts may overlap.",0,0,0,0,0,0.0645281859887524,TRUE,52.855,TRUE
