"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes","test_file","test_md5","passed","failed","errors","warnings","skipped","pass"
"frame-link-safety","cross-set separation allows zero-loading rows and positive units","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-link-safety.R","16e84c12a53813ba556688b6314c79f0","git:f60ce05+dirty","6a3a70f3d75b","2026-09-10","Fixed-data regression block, not a sampling study. Checks separation certificates, finite overlap, convergence and project refusal.","tests/testthat/test-btl-efrm-separation.R","34617bf42b17f669fd512749ae3f1263",17,0,0,0,0,TRUE
"frame-link-safety","partly separated public BTL-EFRM fits are refused at every iteration cap","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-link-safety.R","16e84c12a53813ba556688b6314c79f0","git:f60ce05+dirty","6a3a70f3d75b","2026-09-10","Fixed-data regression block, not a sampling study. Checks separation certificates, finite overlap, convergence and project refusal.","tests/testthat/test-btl-efrm-separation.R","34617bf42b17f669fd512749ae3f1263",6,0,0,0,0,TRUE
"frame-link-safety","separation certificates respect mixed-outcome faces in higher dimensions","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-link-safety.R","16e84c12a53813ba556688b6314c79f0","git:f60ce05+dirty","6a3a70f3d75b","2026-09-10","Fixed-data regression block, not a sampling study. Checks separation certificates, finite overlap, convergence and project refusal.","tests/testthat/test-btl-efrm-separation.R","34617bf42b17f669fd512749ae3f1263",250,0,0,0,0,TRUE
"frame-link-safety","finite near-separated links and solver exhaustion are distinguished","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-link-safety.R","16e84c12a53813ba556688b6314c79f0","git:f60ce05+dirty","6a3a70f3d75b","2026-09-10","Fixed-data regression block, not a sampling study. Checks separation certificates, finite overlap, convergence and project refusal.","tests/testthat/test-btl-efrm-separation.R","34617bf42b17f669fd512749ae3f1263",9,0,0,0,0,TRUE
"frame-link-safety","both frame bootstraps exclude partly separated links","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-link-safety.R","16e84c12a53813ba556688b6314c79f0","git:f60ce05+dirty","6a3a70f3d75b","2026-09-10","Fixed-data regression block, not a sampling study. Checks separation certificates, finite overlap, convergence and project refusal.","tests/testthat/test-btl-efrm-separation.R","34617bf42b17f669fd512749ae3f1263",4,0,0,0,0,TRUE
"frame-link-safety","frame algorithm records protect every saved-fit location","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-link-safety.R","16e84c12a53813ba556688b6314c79f0","git:f60ce05+dirty","6a3a70f3d75b","2026-09-10","Fixed-data regression block, not a sampling study. Checks separation certificates, finite overlap, convergence and project refusal.","tests/testthat/test-project-frame-calibration.R","6f98aa0a392c966ecc9b1005881933d8",44,0,0,0,0,TRUE
"frame-link-safety","ordinary saved calibrations do not need frame records","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-link-safety.R","16e84c12a53813ba556688b6314c79f0","git:f60ce05+dirty","6a3a70f3d75b","2026-09-10","Fixed-data regression block, not a sampling study. Checks separation certificates, finite overlap, convergence and project refusal.","tests/testthat/test-project-frame-calibration.R","6f98aa0a392c966ecc9b1005881933d8",2,0,0,0,0,TRUE
"frame-link-safety","the app does not install unverified frame fits over the active analysis","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-link-safety.R","16e84c12a53813ba556688b6314c79f0","git:f60ce05+dirty","6a3a70f3d75b","2026-09-10","Fixed-data regression block, not a sampling study. Checks separation certificates, finite overlap, convergence and project refusal.","tests/testthat/test-project-frame-calibration.R","6f98aa0a392c966ecc9b1005881933d8",2,0,0,0,0,TRUE
