"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"BTL dimensionality reference","BTL, null, B = 20","finite simulated upper-tail decision",1000,1000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0249999999999999,0.00493710441453286,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/btl-dimensionality-reference.R","b2eff3a9139d4aff32de70689bb95ea4","54b0639+dirty","c49eb3933f89","2026-09-02","rejection 0.0250 using (1 + exceedances) / (B + 1); mean p 0.6504"
"BTL dimensionality reference","BTL, second attribute, B = 20","finite simulated upper-tail decision",1000,1000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788,0.0129250145067617,0,0,0,0,0,0,"tools/simval/studies/btl-dimensionality-reference.R","b2eff3a9139d4aff32de70689bb95ea4","54b0639+dirty","c49eb3933f89","2026-09-02","rejection 0.7880 using (1 + exceedances) / (B + 1); mean p 0.0745"
"BTL dimensionality reference","BTL, null, B = 200","finite simulated upper-tail decision",1000,1000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0269999999999999,0.00512552436341882,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/btl-dimensionality-reference.R","b2eff3a9139d4aff32de70689bb95ea4","54b0639+dirty","c49eb3933f89","2026-09-02","rejection 0.0270 using (1 + exceedances) / (B + 1); mean p 0.6242"
"BTL dimensionality reference","BTL, second attribute, B = 200","finite simulated upper-tail decision",1000,1000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.0109726933794762,0,0,0,0,0,0,"tools/simval/studies/btl-dimensionality-reference.R","b2eff3a9139d4aff32de70689bb95ea4","54b0639+dirty","c49eb3933f89","2026-09-02","rejection 0.8600 using (1 + exceedances) / (B + 1); mean p 0.0287"
"BTL dimensionality reference","BTL-EFRM, null, B = 20","finite simulated upper-tail decision",1000,1000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.00589101010014412,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/btl-dimensionality-reference.R","b2eff3a9139d4aff32de70689bb95ea4","54b0639+dirty","c49eb3933f89","2026-09-02","rejection 0.0360 using (1 + exceedances) / (B + 1); mean p 0.5572"
"BTL dimensionality reference","BTL-EFRM, null, B = 200","finite simulated upper-tail decision",1000,1000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0520000000000002,0.00702111102319285,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/btl-dimensionality-reference.R","b2eff3a9139d4aff32de70689bb95ea4","54b0639+dirty","c49eb3933f89","2026-09-02","rejection 0.0520 using (1 + exceedances) / (B + 1); mean p 0.5338"
