"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes","max_absolute_log_phi_error","max_absolute_covariance_error","mean_reported_to_stacked_se_ratio","max_absolute_reported_to_stacked_se_ratio_minus_one","mean_old_to_corrected_se_ratio","min_old_to_corrected_se_ratio","max_old_to_corrected_se_ratio","mean_stacked_cross_set_covariance"
"btl-panel-covariance","shared judges; positive dependence","same-estimator conditional panel covariance agreement",10,10,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/btl-panel-covariance.R","5ebaa9f02006140f7eb629f1c8799566","git:145b821+dirty","ecb2f28fed2c","2026-09-09","10 fixed seeds in this run; actual btl_efrm conditional panel variances versus independently rebuilt CR1 stage-one judge scores and their same-estimator stacked sandwich. Old/corrected SE ratios are descriptive comparisons with the former block-diagonal covariance, not a null-calibration or coverage claim",6.93889390390723e-17,1.38777878078145e-17,1,2.22044604925031e-16,0.81254708540824,0.754833255375437,0.870698604550922,0.0862283461504012
"btl-panel-covariance","shared judges; negative dependence","same-estimator conditional panel covariance agreement",10,10,0,0,0,0,0,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/btl-panel-covariance.R","5ebaa9f02006140f7eb629f1c8799566","git:145b821+dirty","ecb2f28fed2c","2026-09-09","10 fixed seeds in this run; actual btl_efrm conditional panel variances versus independently rebuilt CR1 stage-one judge scores and their same-estimator stacked sandwich. Old/corrected SE ratios are descriptive comparisons with the former block-diagonal covariance, not a null-calibration or coverage claim",1.11022302462516e-16,5.20417042793042e-18,1,2.22044604925031e-16,1.28661633326972,1.0219675761408,1.50300744331428,-0.0541907606085725
"btl-panel-covariance","partially shared judges; positive dependence","same-estimator conditional panel covariance agreement",10,10,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/btl-panel-covariance.R","5ebaa9f02006140f7eb629f1c8799566","git:145b821+dirty","ecb2f28fed2c","2026-09-09","10 fixed seeds in this run; actual btl_efrm conditional panel variances versus independently rebuilt CR1 stage-one judge scores and their same-estimator stacked sandwich. Old/corrected SE ratios are descriptive comparisons with the former block-diagonal covariance, not a null-calibration or coverage claim",9.36750677027476e-17,1.04083408558608e-17,1,2.22044604925031e-16,0.909204039058497,0.848830678710539,0.9968247134447,0.0284223201267633
"btl-panel-covariance","partially shared judges; negative dependence","same-estimator conditional panel covariance agreement",10,10,0,0,0,0,0,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/btl-panel-covariance.R","5ebaa9f02006140f7eb629f1c8799566","git:145b821+dirty","ecb2f28fed2c","2026-09-09","10 fixed seeds in this run; actual btl_efrm conditional panel variances versus independently rebuilt CR1 stage-one judge scores and their same-estimator stacked sandwich. Old/corrected SE ratios are descriptive comparisons with the former block-diagonal covariance, not a null-calibration or coverage claim",1.07552855510562e-16,3.46944695195361e-18,1,2.22044604925031e-16,1.1074951014838,1.00402055903088,1.24932475638845,-0.0214328505131893
"btl-panel-covariance","disjoint judges; no cross-set dependence","same-estimator conditional panel covariance agreement",10,10,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/btl-panel-covariance.R","5ebaa9f02006140f7eb629f1c8799566","git:145b821+dirty","ecb2f28fed2c","2026-09-09","10 fixed seeds in this run; actual btl_efrm conditional panel variances versus independently rebuilt CR1 stage-one judge scores and their same-estimator stacked sandwich. Old/corrected SE ratios are descriptive comparisons with the former block-diagonal covariance, not a null-calibration or coverage claim",9.19403442267708e-17,1.04083408558608e-17,1,2.22044604925031e-16,1,1,1,0
