"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes","test_file","test_md5","passed","failed","errors","warnings","skipped","pass"
"frame-likelihood-curvature","likelihood curvature distinguishes maxima, saddles and flat directions","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-likelihood-curvature.R","78cba89a9f4fe2d67dbfd575cc7d2acf","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","Fixed-data regression block, not a sampling study. Checks exact curvature, public refusal and accepted-draw covariance.","tests/testthat/test-frame-likelihood-curvature.R","e04ab2b4511e32e543a8b0be5d47ad0c",12,0,0,0,0,TRUE
"frame-likelihood-curvature","EFRM refuses a stationary saddle and excludes it from bootstrap draws","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-likelihood-curvature.R","78cba89a9f4fe2d67dbfd575cc7d2acf","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","Fixed-data regression block, not a sampling study. Checks exact curvature, public refusal and accepted-draw covariance.","tests/testthat/test-frame-likelihood-curvature.R","e04ab2b4511e32e543a8b0be5d47ad0c",15,0,0,0,0,TRUE
"frame-likelihood-curvature","BTL-EFRM rejects a full-Fisher-rank saddle using the exact Hessian","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-likelihood-curvature.R","78cba89a9f4fe2d67dbfd575cc7d2acf","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","Fixed-data regression block, not a sampling study. Checks exact curvature, public refusal and accepted-draw covariance.","tests/testthat/test-frame-likelihood-curvature.R","e04ab2b4511e32e543a8b0be5d47ad0c",18,0,0,0,0,TRUE
"frame-likelihood-curvature","BTL frame curvature includes every nonlinear term away from convergence","numerical_conformance",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/frame-likelihood-curvature.R","78cba89a9f4fe2d67dbfd575cc7d2acf","git:f60ce05+dirty","bbf644ba1ec8","2026-09-10","Fixed-data regression block, not a sampling study. Checks exact curvature, public refusal and accepted-draw covariance.","tests/testthat/test-frame-likelihood-curvature.R","e04ab2b4511e32e543a8b0be5d47ad0c",4,0,0,0,0,TRUE
